DBCS-PC    JIS X 0212-1990
FB54       4167 (8FC9E3)
FB55       4192 (8FC9FC)
FB56       4184 (8FC9F4)
FB57       4185 (8FC9F5)
FB59       4219 (8FCAB3)
FB5A       4229 (8FCABD)
FB5B       4279 (8FCAEF)
FB5C       4281 (8FCAF1)
FB5D       4314 (8FCBAE)
FB5F       4342 (8FCBCA)
FB60       4370 (8FCBE6)
FB61       4374 (8FCBEA)
FB62       4380 (8FCBF0)
FB63       4384 (8FCBF4)
FB64       4378 (8FCBEE)
FB65       4405 (8FCCA5)
FB66       4389 (8FCBF9)
FB67       4411 (8FCCAB)
FB68       4414 (8FCCAE)
FB69       4413 (8FCCAD)
FB6A       4418 (8FCCB2)
FB6B       4434 (8FCCC2)
FB6C       4448 (8FCCD0)
FB6D       4457 (8FCCD9)
FB6F       4527 (8FCDBB)
FB71       4627 (8FCEBB)
FB73       4626 (8FCEBA)
FB74       4635 (8FCEC3)
FB76       4682 (8FCEF2)
FB77       1961 (8FB3DD)
FB78       4753 (8FCFD5)
FB79       4766 (8FCFE2)
FB7A       4773 (8FCFE9)
FB7B       4777 (8FCFED)
FB81       4869 (8FD0E5)
FB83       4873 (8FD0E9)
FB84       4972 (8FD1E8)
FB87       4976 (8FD1EC)
FB88       5027 (8FD2BB)
FB8A       5165 (8FD3E1)
FB8B       5172 (8FD3E8)
FB8C       5207 (8FD4A7)
FB8F       5252 (8FD4D4)
FB90       5282 (8FD4F2)
FB91       5314 (8FD5AE)
FB93       5562 (8FD7DE)
FB95       5602 (8FD8A2)
FB96       5623 (8FD8B7)
FB97       5633 (8FD8C1)
FB98       5649 (8FD8D1)
FB99       5684 (8FD8F4)
FB9A       5738 (8FD9C6)
FB9B       5740 (8FD9C8)
FB9C       5749 (8FD9D1)
FBA2       6051 (8FDCD3)
FBA3       6140 (8FDDC8)
FBA4       6152 (8FDDD4)
FBA5       6174 (8FDDEA)
FBA6       6190 (8FDDFA)
FBA7       6204 (8FDEA4)
FBA8       6216 (8FDEB0)
FBAA       6221 (8FDEB5)
FBAB       6243 (8FDECB)
FBAD       6325 (8FDFB9)
FBAF       6335 (8FDFC3)
FBB2       6457 (8FE0D9)
FBB5       6566 (8FE1E2)
FBB9       6639 (8FE2C7)
FBBA       6708 (8FE3A8)
FBBB       6706 (8FE3A6)
FBBC       6709 (8FE3A9)
FBBD       6715 (8FE3AF)
FBBE       6716 (8FE3B0)
FBBF       6710 (8FE3AA)
FBC0       6711 (8FE3AB)
FBC1       6728 (8FE3BC)
FBC2       6733 (8FE3C1)
FBC3       6731 (8FE3BF)
FBC4       6753 (8FE3D5)
FBC5       6756 (8FE3D8)
FBC6       6754 (8FE3D6)
FBC7       6763 (8FE3DF)
FBC8       6767 (8FE3E3)
FBC9       6765 (8FE3E1)
FBCA       6752 (8FE3D4)
FBCB       6773 (8FE3E9)
FBCC       6806 (8FE4A6)
FBCD       6781 (8FE3F1)
FBCE       6782 (8FE3F2)
FBCF       6843 (8FE4CB)
FBD0       6833 (8FE4C1)
FBD1       6835 (8FE4C3)
FBD2       6830 (8FE4BE)
FBD4       6832 (8FE4C0)
FBD5       6839 (8FE4C7)
FBD6       6831 (8FE4BF)
FBD7       6864 (8FE4E0)
FBD8       6862 (8FE4DE)
FBD9       6849 (8FE4D1)
FBDB       6860 (8FE4DC)
FBDC       6850 (8FE4D2)
FBDD       6859 (8FE4DB)
FBDE       6852 (8FE4D4)
FBDF       6890 (8FE4FA)
FBE0       6879 (8FE4EF)
FBE1       6919 (8FE5B3)
FBE2       6931 (8FE5BF)
FBE3       6941 (8FE5C9)
FBE4       6948 (8FE5D0)
FBE5       6966 (8FE5E2)
FBE6       6974 (8FE5EA)
FBE7       6975 (8FE5EB)
FBEB       7072 (8FE6E8)
FBEC       7079 (8FE6EF)
FBED       7112 (8FE7AC)
FBEF       7114 (8FE7AE)
FBF1       7117 (8FE7B1)
FBF3       7118 (8FE7B2)
FBF4       7217 (8FE8B1)
FBF5       7222 (8FE8B6)
FBF8       7261 (8FE8DD)
FBFB       7349 (8FE9D1)
FC40       7377 (8FE9ED)
FC41       7445 (8FEACD)
FC43       7459 (8FEADB)
FC44       7470 (8FEAE6)
FC45       7474 (8FEAEA)
FC46       7505 (8FEBA5)
FC47       7591 (8FEBFB)
FC48       7590 (8FEBFA)
FC4A       7654 (8FECD6)
